"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 10:17:54 GMT 2025","Tue Mar 18 10:17:55 GMT 2025","823","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 10:18:01 GMT 2025","Tue Mar 18 10:18:01 GMT 2025","813","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 10:17:57 GMT 2025","Tue Mar 18 10:17:58 GMT 2025","1113","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 10:17:48 GMT 2025","Tue Mar 18 10:17:48 GMT 2025","36","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 10:17:59 GMT 2025","Tue Mar 18 10:17:59 GMT 2025","936","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 10:17:44 GMT 2025","Tue Mar 18 10:17:44 GMT 2025","37","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 10:17:50 GMT 2025","Tue Mar 18 10:17:50 GMT 2025","389","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 10:17:44 GMT 2025","Tue Mar 18 10:17:45 GMT 2025","736","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 10:17:50 GMT 2025","Tue Mar 18 10:17:50 GMT 2025","385","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 10:17:43 GMT 2025","Tue Mar 18 10:17:44 GMT 2025","740","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 10:17:47 GMT 2025","Tue Mar 18 10:17:47 GMT 2025","787","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 10:17:53 GMT 2025","Tue Mar 18 10:17:54 GMT 2025","1621","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 10:18:00 GMT 2025","Tue Mar 18 10:18:01 GMT 2025","924","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 10:17:50 GMT 2025","Tue Mar 18 10:17:50 GMT 2025","37","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 10:17:41 GMT 2025","Tue Mar 18 10:17:43 GMT 2025","1699","POST Product API tests","","","","","should successfully create product as admin (200)",""
